#SNo,State Name,Target given by MoRD,SCST,Minority,Others,Total
,Total,26289083,11718294,3063362,13334592,25276771
1,ARUNACHAL PRADESH,41596,34001,572,1695,35696
2,ASSAM,1581833,175686,425448,696032,871718
3,BIHAR,3925659,796130,560273,3261991,4058121
4,CHHATTISGARH,1097150,661226,6208,435924,1097150
5,GOA,1707,180,76,247,427
6,GUJARAT,449167,243654,9556,193360,440600
7,HARYANA,30789,18515,3822,11084,29599
8,HIMACHAL PRADESH,15483,8482,1212,7149,15635
9,JAMMU AND KASHMIR,201633,99108,511,87791,186899
10,JHARKHAND,1616272,836177,186174,730409,1610064
11,KERALA,42212,17264,8901,21549,40499
12,MADHYA PRADESH,3227131,1671190,31307,1300602,2971792
13,MAHARASHTRA,1505983,723842,44870,695335,1419177
14,MANIPUR,46166,29081,3660,13541,42753
15,MEGHALAYA,81677,71561,6939,4304,75865
16,MIZORAM,20518,17647,56,64,17711
17,NAGALAND,25074,24796,129,271,25072
18,ODISHA,2695837,1299726,18824,1046562,2346288
19,PUNJAB,41117,26828,1090,12516,39928
20,RAJASTHAN,1732059,1146315,112955,794597,1965366
21,SIKKIM,1409,792,89,609,1403
22,TAMIL NADU,817439,411158,34811,395728,816484
23,TRIPURA,213740,135232,14962,78508,213740
24,UTTAR PRADESH,2615951,1220832,298142,1275290,2627632
25,UTTARAKHAND,29138,14607,3887,13573,29093
26,WEST BENGAL,3799505,1774098,1252765,2025407,3799505
27,ANDAMAN AND NICOBAR,1337,18,610,2107,2125
28,DADRA AND NAGAR HAVELI,6763,6253,14,30,6283
29,DAMAN AND DIU,68,39,0,17,56
30,LAKSHADWEEP,53,54,54,0,54
31,PUDUCHERRY,0,0,0,0,0
32,ANDHRA PRADESH,256270,154613,11519,94711,257258
33,KARNATAKA,166355,98213,23925,133136,231349
34,TELANGANA,0,0,0,0,0
35,LADAKH,1992,976,1,453,1429
,Total,26289083,11718294,3063362,13334592,25276771
